2008-10-08 17:41:52,762 INFO program starts at: 17:41:52 10/08/08 Eastern Daylight Time
2008-10-08 17:41:52,762 INFO total symbols to be processed is: [510]
2008-10-08 17:48:14,874 INFO Analysis for 20081008
2008-10-08 17:48:14,874 INFO total symbols to be processed is: [510]
2008-10-08 17:48:16,124 ERROR abnormalVol wrong with DPS
2008-10-08 17:48:16,124 ERROR <type 'exceptions.ValueError'>
2008-10-08 17:48:16,124 ERROR need more than 2 values to unpack
2008-10-08 17:48:16,138 ERROR abnormalVol wrong with ^RUT
2008-10-08 17:48:16,138 ERROR <type 'exceptions.ZeroDivisionError'>
2008-10-08 17:48:16,138 ERROR float division
2008-10-08 17:48:16,138 INFO Abnormal Volume List [73]:
2008-10-08 17:48:16,404 INFO D: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO DDR: ('Services', 'Real Estate Operations')
2008-10-08 17:48:16,404 INFO DELL: ('Technology', 'Computer Hardware')
2008-10-08 17:48:16,404 INFO DHR: ('Technology', 'Scientific & Technical Instr.')
2008-10-08 17:48:16,404 INFO DIS: ('Services', 'Broadcasting & Cable TV')
2008-10-08 17:48:16,404 INFO DOW: ('Basic Materials', 'Chemicals - Plastics & Rubber')
2008-10-08 17:48:16,404 INFO DPS: ('Cons. Non-Cyclical', 'Beverages (Non-Alcoholic)')
2008-10-08 17:48:16,404 INFO DTE: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO DUK: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO DVN: ('Energy', 'Oil & Gas Operations')
2008-10-08 17:48:16,404 INFO EFX: ('Services', 'Business Services')
2008-10-08 17:48:16,404 INFO EIX: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO EMC: ('Technology', 'Computer Storage Devices')
2008-10-08 17:48:16,404 INFO EMN: ('Basic Materials', 'Chemicals - Plastics & Rubber')
2008-10-08 17:48:16,404 INFO EQ: ('Services', 'Communications Services')
2008-10-08 17:48:16,404 INFO ERTS: ('Technology', 'Software & Programming')
2008-10-08 17:48:16,404 INFO ESV: ('Energy', 'Oil Well Services & Equipment')
2008-10-08 17:48:16,404 INFO ETR: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO EXC: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO EXPD: ('Transportation', 'Misc. Transportation')
2008-10-08 17:48:16,404 INFO F: ('Cons. Cyclical', 'Auto & Truck Manufacturers')
2008-10-08 17:48:16,404 INFO FDX: ('Transportation', 'Air Courier')
2008-10-08 17:48:16,404 INFO FE: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO FII: ('Financial', 'Investment Services')
2008-10-08 17:48:16,404 INFO FISV: ('Technology', 'Computer Services')
2008-10-08 17:48:16,404 INFO FPL: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO FTR: ('Services', 'Communications Services')
2008-10-08 17:48:16,404 INFO GLW: ('Technology', 'Communications Equipment')
2008-10-08 17:48:16,404 INFO GM: ('Cons. Cyclical', 'Auto & Truck Manufacturers')
2008-10-08 17:48:16,404 INFO GME: ('Services', 'Retail (Technology)')
2008-10-08 17:48:16,404 INFO GNW: ('Financial', 'Insurance (Life)')
2008-10-08 17:48:16,404 INFO GOOG: ('Technology', 'Computer Services')
2008-10-08 17:48:16,404 INFO GR: ('Capital Goods', 'Aerospace & Defense')
2008-10-08 17:48:16,404 INFO HAL: ('Energy', 'Oil Well Services & Equipment')
2008-10-08 17:48:16,404 INFO HAR: ('Cons. Cyclical', 'Audio & Video Equipment')
2008-10-08 17:48:16,404 INFO HD: ('Services', 'Retail (Home Improvement)')
2008-10-08 17:48:16,404 INFO HIG: ('Financial', 'Insurance (Prop. & Casualty)')
2008-10-08 17:48:16,404 INFO HOG: ('Cons. Cyclical', 'Recreational Products')
